subj	mode	order	scenario	concept	first	Yp	Yn	age	gender	race
   1	je	3	linebacker	hs	neg	 5	6	36	Female	white
   1	je	1	train		ivd	pos	 7	7	36	Female	white
   1	je	2	fire		cc	pos	 2	6	36	Female	white
   1	je	4	driver		ident	pos	 7	7	36	Female	white
   1	je	5	construct	ml	pos	 5	7	36	Female	white
   2	se	5	fire		ident	neg	 7	6	23	Male	white
   2	se	1	driver		ml	pos	 7	7	23	Male	white
   2	se	2	construct	cc	pos	 3	5	23	Male	white
   2	se	3	train		hs	pos	 7	7	23	Male	white
   2	se	4	linebacker	ivd	pos	 7	7	23	Male	white
   3	se	1	train		ident	neg	 7	7	27	Male	asian
   3	se	2	construct	cc	neg	 4	4	27	Male	asian
   3	se	3	linebacker	ivd	neg	 7	7	27	Male	asian
   3	se	4	driver		ml	pos	 7	7	27	Male	asian
   3	se	5	fire		hs	pos	 7	7	27	Male	asian
   4	je	4	driver		ivd	neg	 7	7	29	Female	white
   4	je	1	construct	hs	pos	 7	7	29	Female	white
   4	je	2	fire		ident	pos	 7	7	29	Female	white
   4	je	3	train		cc	pos	 5	7	29	Female	white
   4	je	5	linebacker	ml	pos	 3	5	29	Female	white
   5	je	3	construct	ident	neg	 7	1	40	Male	white
   5	je	5	fire		cc	neg	 1	1	40	Male	white
   5	je	1	linebacker	ml	pos	 1	1	40	Male	white
   5	je	2	train		hs	pos	 7	7	40	Male	white
   5	je	4	driver		ivd	pos	 7	7	40	Male	white
   6	je	2	train		cc	neg	 2	2	29	Male	white
   6	je	3	fire		hs	neg	 7	7	29	Male	white
   6	je	5	linebacker	ident	neg	 5	2	29	Male	white
   6	je	1	construct	ml	pos	 6	6	29	Male	white
   6	je	4	driver		ivd	pos	 6	5	29	Male	white
   7	je	2	construct	cc	neg	 4	4	25	Female	white
   7	je	3	train		ivd	neg	 6	6	25	Female	white
   7	je	4	linebacker	ml	neg	 4	3	25	Female	white
   7	je	1	fire		ident	pos	 6	4	25	Female	white
   7	je	5	driver		hs	pos	 7	4	25	Female	white
   8	je	1	train		cc	neg	 1	5	61	Male	white
   8	je	2	driver		ident	neg	 7	1	61	Male	white
   8	je	3	linebacker	ml	pos	 1	1	61	Male	white
   8	je	4	fire		hs	pos	 2	6	61	Male	white
   8	je	5	construct	ivd	pos	 7	6	61	Male	white
   9	se	1	train		cc	neg	 5	6	33	Male	white
   9	se	2	fire		hs	neg	 4	6	33	Male	white
   9	se	3	construct	ml	neg	 2	5	33	Male	white
   9	se	4	driver		ivd	neg	 7	7	33	Male	white
   9	se	5	linebacker	ident	pos	 5	5	33	Male	white
  10	je	1	linebacker	hs	neg	 5	5	34	Male	white
  10	je	4	construct	ml	neg	 3	3	34	Male	white
  10	je	5	train		ivd	neg	 6	6	34	Male	white
  10	je	2	fire		cc	pos	 5	4	34	Male	white
  10	je	3	driver		ident	pos	 4	3	34	Male	white
  11	se	1	train		ident	neg	 7	6	37	Male	white
  11	se	2	driver		cc	neg	 4	4	37	Male	white
  11	se	3	linebacker	hs	neg	 5	3	37	Male	white
  11	se	4	fire		ivd	neg	 6	6	37	Male	white
  11	se	5	construct	ml	neg	 1	3	37	Male	white
  12	se	1	construct	ivd	neg	 4	6	22	Female	white
  12	se	3	fire		hs	neg	 3	3	22	Female	white
  12	se	4	train		ml	neg	 4	6	22	Female	white
  12	se	2	driver		ident	pos	 4	4	22	Female	white
  12	se	5	linebacker	cc	pos	 5	6	22	Female	white
  13	je	1	train		ml	neg	 4	5	30	Male	white
  13	je	2	fire		cc	neg	 6	5	30	Male	white
  13	je	3	driver		hs	neg	 3	7	30	Male	white
  13	je	4	linebacker	ivd	pos	 4	5	30	Male	white
  13	je	5	construct	ident	pos	 7	4	30	Male	white
  14	se	1	construct	ml	neg	 1	1	24	Male	asian
  14	se	2	fire		cc	neg	 1	1	24	Male	asian
